theta_rad,theta_deg,density
-2.0392794418039006,-116.84210526315789,0.00486507294200896
-2.0235321102069594,-115.93984962406014,0.0051062088387790906
-2.0077847786100183,-115.03759398496241,0.005361290542467125
-1.9920374470130768,-114.13533834586467,0.0056311412008277755
-1.9762901154161354,-113.23308270676691,0.005916631296678467
-1.9605427838191942,-112.33082706766918,0.006218681073995429
-1.9447954522222528,-111.42857142857143,0.006538263053656432
-1.9290481206253116,-110.52631578947368,0.00687640463822434
-1.9133007890283702,-109.62406015037594,0.007234190804624377
-1.897553457431429,-108.7218045112782,0.00761276688296462
-1.8818061258344876,-107.81954887218045,0.008013341419080916
-1.8660587942375462,-106.9172932330827,0.008437189117649133
-1.850311462640605,-106.01503759398496,0.008885653861897103
-1.8345641310436636,-105.11278195488721,0.009360151805061216
-1.8188167994467224,-104.21052631578948,0.009862174527765355
-1.803069467849781,-103.30827067669172,0.01039329225445019
-1.7873221362528398,-102.40601503759399,0.010955157120844628
-1.7715748046558983,-101.50375939849624,0.011549506483247766
-1.755827473058957,-100.60150375939848,0.01217816625907523
-1.7400801414620157,-99.69924812030075,0.012843054286718546
-1.7243328098650743,-98.796992481203,0.013546183691268091
-1.7085854782681331,-97.89473684210526,0.014289666241059824
-1.6928381466711917,-96.99248120300751,0.015075715678324445
-1.6770908150742505,-96.09022556390978,0.01590665100544538
-1.661343483477309,-95.18796992481202,0.016784899706473812
-1.645596151880368,-94.28571428571429,0.01771300088160645
-1.6298488202834265,-93.38345864661655,0.01869360827031274
-1.614101488686485,-92.48120300751879,0.019729493136706872
-1.5983541570895439,-91.57894736842105,0.020823546988606813
-1.5826068254926025,-90.67669172932331,0.021978784099515997
-1.5668594938956613,-89.77443609022556,0.023198343800515255
-1.5511121622987198,-88.87218045112782,0.024485492506778145
-1.5353648307017786,-87.96992481203007,0.02584362544113465
-1.5196174991048372,-87.06766917293233,0.027276268014827732
-1.503870167507896,-86.1654135338346,0.02878707682335066
-1.4881228359109546,-85.26315789473684,0.03037984021304613
-1.4723755043140132,-84.36090225563909,0.03205847837201174
-1.456628172717072,-83.45864661654136,0.03382704289682101
-1.4408808411201306,-82.5563909774436,0.03568971578466084
-1.4251335095231894,-81.65413533834587,0.03765080779873791
-1.409386177926248,-80.75187969924812,0.03971475615325301
-1.3936388463293068,-79.84962406015038,0.041886121462915656
-1.3778915147323654,-78.94736842105263,0.044169583900915334
-1.362144183135424,-78.04511278195488,0.046569938508513105
-1.3463968515384828,-77.14285714285714,0.049092089599016384
-1.3306495199415413,-76.2406015037594,0.0517410441988875
-1.3149021883446002,-75.33834586466166,0.0545219044691596
-1.2991548567476587,-74.4360902255639,0.057439859051237156
-1.2834075251507175,-73.53383458646617,0.06050017328258181
-1.2676601935537761,-72.63157894736842,0.06370817822978003
-1.2519128619568347,-71.72932330827066,0.06706925848909075
-1.2361655303598935,-70.82706766917293,0.07058883870783021
-1.220418198762952,-69.92481203007519,0.07427236878389903
-1.204670867166011,-69.02255639097744,0.07812530770543462
-1.1889235355690695,-68.1203007518797,0.08215310599801517
-1.1731762039721283,-67.21804511278195,0.08636118675306928
-1.1574288723751869,-66.3157894736842,0.09075492521819715
-1.1416815407782457,-65.41353383458647,0.0953396269379825
-1.1259342091813043,-64.51127819548871,0.10012050444260136
