group,x_m,y_m
Group 2,-117.42316357452796,-145.49139594556337
Group 2,-122.59580846250473,-147.27051477183772
Group 2,-128.01874261928293,-149.0496335988194
Group 2,-133.19138750722655,-149.82799808487235
Group 2,-139.1983299578305,-150.7175574980095
Group 2,-144.0372558207498,-153.052650957583
Group 2,-148.79275192751248,-154.72057485748047
Group 2,-154.38254559673652,-155.83252412337146
Group 2,-159.47176072849038,-157.16686324272357
Group 2,-164.81126512897933,-159.39076177662747
Group 2,-169.39990172319668,-161.61466030911674
Group 2,-173.9885383173477,-163.72736391522912
Group 2,-179.16118320535764,-165.50648274150348
Group 2,-184.66754711835875,-168.0639660545381
Group 2,-189.75676225011264,-170.28786458702737
Group 2,-194.59568811306508,-171.51100878000258
Group 2,-200.0186222698101,-173.29012760698424
Group 2,-204.8575481327957,-174.62446672633635
Group 2,-209.94676326451642,-176.0700007727727
Group 2,-214.86911888372492,-177.84911959975435
Group 2,-219.95833401547878,-178.96106886564533
Group 2,-225.548127684736,-177.515534819209
Group 2,-228.3013096412863,-172.17817833967862
Group 2,-231.80535940407506,-167.8415762017843
Group 2,-237.89573161090195,-166.17365230117954
Group 2,-242.81808723014362,-164.50572840198942
Group 2,-244.57011211155458,-158.5012023634903
Group 2,-244.987260892835,-153.052650957583
Group 2,-244.82040138032283,-147.9376843322211
Group 2,-245.9884179679412,-142.2667430728527
Group 2,-247.32329406807173,-136.3734119607305
Group 2,-248.407880899434,-131.03605548190745
Group 2,-248.9918891932266,-125.25391929616214
Group 2,-250.41019504958004,-119.58297803750106
Group 2,-251.16106285591798,-113.57845199829464
Group 2,-252.2456496872471,-108.5746802993096
Group 2,-253.9976745686912,-103.34851874686346
Group 2,-254.83197213125206,-97.7887724152866
Group 2,-258.00230286908277,-92.78500071630158
Group 2,-260.004617019262,-87.3364493103943
Group 2,-263.0915180007703,-82.22148268503237
Group 2,-263.34180726957175,-76.77293127983242
Group 2,-264.1761048321326,-71.32437987392515
Group 2,-265.1772619072388,-65.98702339439477
Group 2,-266.34527849485715,-60.872056769032845
Group 2,-268.0973033762681,-55.86828507004782
Group 2,-270.18304728273654,-50.197343811386745
Group 2,-271.9350721641475,-45.41596196515552
Group 2,-273.85395655807065,-39.856215633578664
Group 2,-276.35684924578635,-34.40766422767139
Group 2,-277.6917253459169,-29.29269760230946
Group 2,-278.69288242102306,-23.399366490187255
Group 2,-279.52717998358395,-17.839620157195757
Group 2,-278.69288242102306,-12.613458605456929
Group 2,-275.93970046450596,-8.165661539063729
Group 2,-271.18420435780956,-5.1633985205215005
Group 2,-265.7612702010314,-3.273084767870249
Group 2,-260.25490628803027,-1.9387456471035014
Group 2,-255.1656911562764,-0.048431894452249935
Group 2,-249.4924677307631,1.6194920054452
Group 2,-243.98610381772883,3.732195611557576
Group 2,-238.5631696609838,6.289678924592201
Group 2,-233.47395452922993,7.735212971028527
Group 2,-227.80073110368346,9.73672165005668
Group 2,-222.62808621570667,11.627035403415253
Group 2,-217.2051520589285,13.85093393590453
Group 2,-212.03250717098487,15.185273055256632
Group 2,-206.85986228297492,16.51961217602338
Group 2,-201.10320910117238,18.076341148836605
Group 2,-196.4311427507321,19.966654901487857
Group 2,-190.67448956896274,21.634578801385306
Group 2,-185.25155541218453,23.747282407497682
Group 2,-180.16234028043067,25.74879108723316
Group 2,-175.15655490496607,27.527909913507507
Group 2,-169.73362074822103,29.97419829945791
Group 2,-164.8946948852686,31.419732345894236
Group 2,-159.30490121597822,32.420486685408314
Group 2,-154.21568608425753,32.75407146524634
Group 2,-148.5424626586779,32.420486685408314
Group 2,-143.2029582582221,33.64363087838351
Group 2,-138.44746215152577,36.757088824717286
Group 2,-135.2771314137282,40.98249603764936
Group 2,-132.60737921346714,45.31909817695834
Group 2,-131.10564360079127,50.990039435619416
Group 2,-133.8588255573084,56.43859084081937
Group 2,-139.11490020157444,58.77368430039287
Group 2,-142.36866069562808,62.7767016591565
Group 2,-145.03841289588914,67.89166828522575
Group 2,-146.54014850853184,73.11782983696457
Group 2,-147.62473533986096,78.67757616995607
Group 2,-148.3756031461989,83.90373772240223
Group 2,-144.78812362712088,80.01191528930818
Group 2,-142.285230939372,75.11933851740737
Group 2,-139.94919776413528,69.89317696496123
Group 2,-139.78233825165628,63.66626107229367
Group 2,-136.19485873254513,59.55204878715315
Group 2,-130.93878408831225,60.55280312666722
Group 2,-125.59927968779014,62.554311806402694
Group 2,-120.34320504355728,63.332676292455645
Group 2,-114.83684113052298,66.0013545325745
